Code,Company,Price,Change,Volume,Value,Captilisation
ACE,Ascension Capital Limited,$0.055,$0.000 / 0.00%,0,$0.00,"$1,053,186"
AFC,AFC Group Holdings Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$3,664,216"
AFI,Australian Foundation Investment Company Limited,$8.220,$0.020 / 0.24%,"4,082","$33,549.42","$10,156,836,333"
AFT,AFT Pharmaceuticals Limited,$3.750,$0.030 / 0.81%,"138,752","$516,253.45","$393,248,475"
AGG,Smartshares Global Aggregate Bond ETF,$1.150,$0.006 / 0.52%,"1,348","$1,550.47","$161,996,208"
AGL,Accordant Group Limited,$1.820,-$0.030 / -1.62%,48,$87.35,"$61,531,020"
AIA,Auckland International Airport Limited,$8.120,$0.010 / 0.12%,"961,322","$7,811,225.32","$11,959,306,090"
AIR,Air New Zealand Limited (NS),$0.760,$0.000 / 0.00%,"178,008","$135,380.97","$2,560,006,900"
AKL,Auckland Real Estate Trust,$0.930,$0.000 / 0.00%,0,$0.00,"$74,718,200"
ALD,Ampol Limited,$29.600,$0.020 / 0.07%,33,$976.86,"$7,053,742,130"
ALF,Allied Farmers Limited,$0.770,-$0.010 / -1.28%,393,$302.78,"$22,180,954"
ANZ,ANZ Group Holdings Limited,$26.390,$0.690 / 2.68%,"25,556","$668,945.70","$79,258,849,377"
AOF,AoFrio Limited,$0.108,$0.001 / 0.93%,"52,215","$5,647.20","$46,640,125"
APA,Smartshares Asia Pacific ETF,$2.076,$0.002 / 0.10%,"43,579","$90,753.78","$125,464,567"
APL,Asset Plus Limited,$0.240,$0.005 / 2.13%,"109,102","$25,163.92","$87,052,272"
ARB,ArborGen Holdings Limited,$0.225,-$0.005 / -2.17%,264,$59.41,"$113,123,718"
ARG,Argosy Property Limited,$1.160,$0.005 / 0.43%,"647,676","$749,926.41","$982,199,718"
ARV,Arvida Group Limited,$1.140,-$0.020 / -1.72%,"384,383","$439,138.95","$824,878,386"
ASD,Smartshares Australian Dividend ETF,$1.708,$0.032 / 1.91%,"35,561","$60,533.09","$35,107,156"
ASF,Smartshares Australian Financials ETF,$7.973,$0.093 / 1.18%,"2,805","$22,418.07","$25,038,951"
ASP,Smartshares Australian Property ETF,$1.394,$0.019 / 1.38%,"28,751","$39,946.46","$53,386,758"
ASR,Smartshares Australian Resources ETF,$6.918,$0.128 / 1.89%,"38,011","$261,713.65","$81,512,255"
ATM,The a2 Milk Company Limited,$7.470,-$0.090 / -1.19%,"267,229","$2,013,828.72","$5,454,484,258"
AUS,Smartshares S&P/ASX 200 ETF,$3.110,$0.042 / 1.37%,"89,607","$277,906.27","$104,535,522"
BFG,Burger Fuel Group Limited,$0.280,-$0.005 / -1.75%,842,$236.97,"$14,094,322"
BGI,Blackwell Global Holdings Limited,$0.004,$0.000 / 0.00%,"32,143",$128.57,"$2,695,036"
BGP,Briscoe Group Limited,$4.700,-$0.050 / -1.05%,976,"$4,606.23","$1,046,434,254"
BIF,Booster Innovation Fund,$1.440,$0.038 / 2.71%,863,"$1,241.21","$13,311,989"
BIT,The Bankers Investment Trust Plc,$1.930,-$0.020 / -1.03%,"12,479","$24,330.02","$2,497,502,866"
BLT,Blis Technologies Limited,$0.026,$0.001 / 4.00%,"78,390","$2,037.89","$33,118,842"
BOT,Smartshares Automation and Robotics ETF,$3.702,$0.028 / 0.76%,"15,382","$57,159.67","$45,760,018"
BPG,Black Pearl Group Limited,$0.510,$0.000 / 0.00%,12,$6.24,"$18,031,649"
BRM,Barramundi Limited,$0.710,$0.020 / 2.90%,"2,001","$1,409.16","$193,172,995"
BRMWG,Barramundi Limited,$0.002,$0.000 / 0.00%,0,$0.00,"$133,365"
BRW,Bremworth Limited,$0.470,$0.010 / 2.17%,"1,153",$536.57,"$32,932,630"
CBD,Cannasouth Limited,$0.290,$0.005 / 1.75%,"10,759","$3,066.45","$42,888,410"
CCC,Cooks Coffee Company Limited,$0.365,$0.000 / 0.00%,1,$0.36,"$21,643,679"
CDI,CDL Investments New Zealand Limited,$0.710,$0.000 / 0.00%,"1,709","$1,213.39","$205,053,465"
CEN,Contact Energy Limited,$7.760,-$0.160 / -2.02%,"2,247,620","$17,733,961.14","$6,078,078,169"
CHI,Channel Infrastructure NZ Limited,$1.450,$0.010 / 0.69%,"102,390","$148,064.02","$543,253,820"
CMO,The Colonial Motor Company Limited,$9.460,$0.160 / 1.72%,120,"$1,137.70","$309,291,219"
CNU,Chorus Limited (NS),$8.150,-$0.010 / -0.12%,"102,182","$830,327.32","$3,613,692,600"
CO2,Carbon Fund,$2.050,$0.020 / 0.99%,"22,096","$45,335.54","$92,637,089"
CRP,Chatham Rock Phosphate Limited,$0.260,-$0.020 / -7.14%,"23,848","$6,259.01","$22,185,615"
CVT,Comvita Limited,$3.380,-$0.020 / -0.59%,"25,945","$88,189.95","$236,240,861"
DGL,Delegat Group Limited,$9.800,$0.000 / 0.00%,14,$134.94,"$991,075,882"
DIV,Smartshares NZ Dividend ETF,$1.208,-$0.006 / -0.49%,"12,472","$15,075.48","$86,259,911"
DOW,Downer EDI Limited,$0.000,$0.000 / 0.00%,0,$0.00,$0
EBO,Ebos Group Limited,$45.620,$0.210 / 0.46%,"236,976","$10,811,824.50","$8,696,896,208"
EMF,Smartshares Emerging Markets ETF,$1.329,$0.020 / 1.53%,"146,135","$193,860.87","$162,827,957"
EMG,Smartshares Emerging Markets Equities ESG ETF,$2.164,$0.019 / 0.89%,"3,364","$7,288.91","$37,248,231"
ENS,Enprise Group Limited,$0.990,$0.000 / 0.00%,11,$10.89,"$17,194,677"
ERD,EROAD Limited,$0.930,$0.000 / 0.00%,"115,080","$107,332.43","$104,744,423"
ESG,Smartshares Global Equities ESG ETF,$2.502,$0.028 / 1.13%,"5,674","$14,217.91","$146,192,400"
EUF,Smartshares Europe ETF,$1.888,$0.013 / 0.69%,"53,575","$100,850.02","$196,457,796"
EUG,Smartshares Europe Equities ESG ETF,$2.737,$0.024 / 0.88%,"7,259","$19,844.28","$38,380,735"
EVO,Embark Education Limited,$0.550,$0.000 / 0.00%,39,$21.84,"$87,752,216"
FBU,Fletcher Building Limited,$4.990,$0.090 / 1.84%,"521,503","$2,592,477.70","$3,907,387,544"
FCT,F&C Investment Trust PLC,$17.400,$0.000 / 0.00%,26,$460.05,"$9,020,366,294"
FNZ,Smartshares NZ Top 50 ETF,$3.050,$0.013 / 0.43%,"39,643","$120,793.14","$658,312,555"
FPH,Fisher & Paykel Healthcare Corporation Limited,$23.480,$0.280 / 1.21%,"343,770","$8,090,749.71","$13,599,215,032"
FRE,Freightways Limited,$9.750,$0.120 / 1.25%,"47,810","$461,019.44","$1,729,955,741"
FSF,Fonterra Shareholders' Fund (NS),$3.300,$0.010 / 0.30%,"4,730","$15,640.74","$354,456,247"
FWL,Foley Wines Limited,$1.360,$0.030 / 2.26%,157,$212.62,"$89,401,161"
GBF,Smartshares Global Bond ETF,$3.033,-$0.004 / -0.13%,"131,622","$399,091.85","$282,462,131"
GEN,General Capital Limited,$0.067,$0.000 / 0.00%,865,$57.95,"$14,248,052"
GEO,Geo Limited,$0.049,$0.000 / 0.00%,"4,469",$218.98,"$8,973,157"
GFI,Greenfern Industries Limited,$0.097,-$0.006 / -5.83%,"34,322","$3,410.69","$10,656,144"
GFL,Geneva Finance Limited,$0.470,$0.040 / 9.30%,"13,044","$6,097.20","$34,279,579"
GMT,Goodman Property Trust (NS),$2.050,$0.010 / 0.49%,"522,271","$1,067,881.42","$2,876,671,758"
GNE,Genesis Energy Limited (NS),$2.610,-$0.010 / -0.38%,"178,495","$468,257.24","$2,759,694,653"
GSH,Good Spirits Hospitality Limited,$0.030,$0.000 / 0.00%,"3,341",$100.23,"$1,732,034"
GTK,Gentrack Group Limited,$2.440,$0.000 / 0.00%,"45,811","$112,834.59","$246,998,875"
GXH,Green Cross Health Limited,$1.340,$0.000 / 0.00%,"8,741","$11,734.81","$192,001,091"
HFL,Henderson Far East Income Limited,$5.130,$0.000 / 0.00%,97,$519.28,"$807,505,933"
HGH,Heartland Group Holdings Limited,$1.810,$0.000 / 0.00%,"180,541","$329,340.95","$1,276,631,712"
HLG,Hallenstein Glasson Holdings Limited,$5.310,-$0.040 / -0.75%,"7,517","$40,225.69","$316,736,514"
IFT,Infratil Limited,$8.620,$0.000 / 0.00%,"159,305","$1,371,084.91","$6,240,738,477"
IKE,ikeGPS Group Limited,$0.930,$0.020 / 2.20%,"5,236","$4,819.70","$148,550,523"
IPL,Investore Property Limited (NS),$1.490,-$0.050 / -3.25%,"355,122","$538,531.19","$547,578,926"
JLG,Just Life Group Limited,$0.400,$0.000 / 0.00%,94,$37.59,"$39,454,242"
JPG,JPMorgan Global Growth & Income plc,$8.490,$0.140 / 1.68%,"1,758","$14,922.15","$2,722,760,719"
JPN,Smartshares Japan Equities ESG ETF,$1.935,$0.004 / 0.21%,"1,380","$2,674.74","$23,355,140"
KFL,Kingfish Limited,$1.390,-$0.010 / -0.71%,"50,489","$70,296.44","$455,525,706"
KMD,KMD Brands Limited,$1.060,$0.040 / 3.92%,"322,080","$334,552.60","$754,028,585"
KPG,Kiwi Property Group Limited,$0.925,$0.000 / 0.00%,"683,859","$635,163.32","$1,453,333,682"
LIC,Livestock Improvement Corporation Limited (NS),$1.250,$0.000 / 0.00%,0,$0.00,"$172,206,936"
LIV,Smartshares Healthcare Innovation ETF,$2.778,$0.014 / 0.51%,"2,579","$7,182.66","$28,056,911"
MCK,Millennium & Copthorne Hotels New Zealand Limited,$1.960,$0.110 / 5.95%,"3,739","$6,962.68","$206,738,336"
MCKPA,Millennium & Copthorne Hotels New Zealand Limited,$1.710,$0.000 / 0.00%,0,$0.00,"$90,184,619"
MCY,Mercury NZ Limited (NS),$5.700,$0.060 / 1.06%,"402,609","$2,284,889.33","$7,900,245,383"
MDZ,Smartshares NZ Mid Cap ETF,$5.560,$0.023 / 0.42%,"11,429","$63,222.92","$168,694,147"
MEE,Me Today Limited,$0.009,$0.000 / 0.00%,586,$5.27,"$11,502,120"
MEL,Meridian Energy Limited (NS),$5.160,-$0.110 / -2.09%,"1,048,921","$5,426,633.40","$13,318,828,552"
MFB,My Food Bag Group Limited,$0.385,-$0.015 / -3.75%,"80,597","$31,817.55","$93,338,447"
MFT,Mainfreight Limited,$68.500,$1.050 / 1.56%,"30,489","$2,085,700.79","$6,897,850,538"
MHJ,Michael Hill International Limited,$1.160,$0.020 / 1.75%,"35,978","$41,466.22","$440,439,105"
MHM,MHM Automation Limited,$0.930,$0.000 / 0.00%,"7,851","$7,402.28","$61,723,232"
MLN,Marlin Global Limited,$0.920,-$0.020 / -2.13%,"46,194","$42,879.61","$187,312,705"
MLNWF,Marlin Global Limited,$0.030,$0.000 / 0.00%,0,$0.00,"$1,515,081"
MMH,Marsden Maritime Holdings Limited,$5.700,$0.000 / 0.00%,39,$222.28,"$235,413,711"
MNW,Manawa Energy Limited,$5.010,-$0.040 / -0.79%,"23,440","$117,953.44","$1,567,994,730"
MOV,Move Logistics Group Limited,$1.070,$0.000 / 0.00%,"9,806","$10,605.98","$124,532,088"
MPG,Metro Performance Glass Limited,$0.190,$0.005 / 2.70%,"30,410","$5,541.62","$35,221,836"
MWE,Marlborough Wine Estates Group Limited,$0.156,-$0.001 / -0.64%,"2,922",$455.89,"$46,324,842"
MZY,Smartshares Australian Mid Cap ETF,$9.494,$0.075 / 0.80%,"35,654","$338,655.56","$165,502,009"
NGB,Smartshares S&P/NZX NZ Government Bond ETF,$2.170,$0.013 / 0.60%,504,"$1,094.77","$271,470,097"
NPF,Smartshares NZ Property ETF,$1.150,-$0.001 / -0.09%,"18,639","$21,502.35","$138,301,010"
NPH,Napier Port Holdings Limited,$2.890,$0.000 / 0.00%,"1,116","$3,185.74","$577,878,285"
NTL,New Talisman Gold Mines Limited,$0.003,$0.000 / 0.00%,"8,352,180","$25,056.53","$9,594,216"
NWF,NZ Windfarms Limited,$0.145,$0.000 / 0.00%,"51,047","$7,328.23","$41,769,220"
NZA,NZ Automotive Investments Limited,$0.320,$0.000 / 0.00%,216,$69.12,"$14,577,440"
NZB,Smartshares NZ Bond ETF,$2.859,-$0.001 / -0.03%,"39,376","$112,595.68","$332,035,903"
NZC,Smartshares NZ Cash ETF,$2.981,-$0.001 / -0.03%,"2,854","$8,507.10","$371,741,765"
NZG,Smartshares S&P/NZX 50 ETF,$2.430,$0.009 / 0.37%,"48,962","$119,143.57","$524,879,616"
NZK,New Zealand King Salmon Investments Limited,$0.215,$0.000 / 0.00%,"36,810","$7,930.51","$116,412,763"
NZL,New Zealand Rural Land Company Limited (NS),$1.050,-$0.010 / -0.94%,"24,650","$25,897.07","$121,381,649"
NZM,NZME Limited,$1.150,$0.010 / 0.88%,"61,358","$70,538.55","$211,500,656"
NZO,New Zealand Oil & Gas Limited,$0.420,$0.005 / 1.20%,306,$128.52,"$94,059,352"
NZX,NZX Limited,$1.230,$0.010 / 0.82%,"249,272","$306,367.79","$387,092,513"
OCA,Oceania Healthcare Limited,$0.800,$0.000 / 0.00%,"320,005","$258,372.89","$576,444,148"
OZY,Smartshares Australian Top 20 ETF,$4.514,$0.073 / 1.64%,"43,587","$196,226.95","$172,350,239"
PCT,Precinct Properties New Zealand Limited (NS),$1.285,$0.015 / 1.18%,"469,498","$602,140.76","$2,037,828,003"
PEB,Pacific Edge Limited,$0.510,-$0.010 / -1.92%,"120,650","$60,933.94","$413,286,261"
PFI,Property for Industry Limited,$2.300,$0.010 / 0.44%,"197,311","$448,290.88","$1,154,716,205"
PGW,PGG Wrightson Limited,$4.480,-$0.170 / -3.66%,"6,581","$30,140.33","$338,168,692"
PHL,Promisia Healthcare Limited,$0.001,$0.000 / 0.00%,0,$0.00,"$21,284,975"
PLP,Private Land and Property Fund,$1.290,$0.000 / 0.00%,385,$499.53,"$123,827,875"
POT,Port of Tauranga Limited,$6.460,$0.180 / 2.87%,"102,506","$653,335.12","$4,395,150,742"
PPH,Pushpay Holdings Limited,$1.290,$0.000 / 0.00%,"379,213","$491,854.74","$1,472,890,420"
PYS,PaySauce Limited,$0.295,$0.005 / 1.72%,977,$291.62,"$40,962,834"
RAD,Radius Residential Care Limited,$0.300,$0.005 / 1.69%,"13,731","$4,084.17","$85,427,848"
RAK,Rakon Limited,$1.040,-$0.020 / -1.89%,"51,833","$54,917.78","$238,217,483"
RBD,Restaurant Brands New Zealand Limited,$5.570,$0.000 / 0.00%,"26,906","$150,961.09","$694,904,973"
RUA,Rua Bioscience Limited,$0.205,$0.005 / 2.50%,"40,761","$8,338.46","$32,393,950"
RYM,Ryman Healthcare Limited,$5.460,-$0.020 / -0.36%,"1,014,837","$5,550,195.03","$2,755,505,069"
SAN,Sanford Limited (NS),$4.220,$0.000 / 0.00%,"7,692","$32,461.06","$394,595,898"
SCL,Scales Corporation Limited,$3.860,$0.010 / 0.26%,"24,190","$93,437.63","$550,906,410"
SCT,Scott Technology Limited,$2.500,$0.000 / 0.00%,"12,038","$30,094.96","$201,210,718"
SCY,Smiths City Group Limited (in receivership),$0.140,$0.000 / 0.00%,0,$0.00,"$7,376,341"
SDL,Solution Dynamics Limited,$2.270,$0.000 / 0.00%,27,$62.10,"$33,413,969"
SEK,Seeka Limited,$3.080,$0.020 / 0.65%,"7,881","$24,428.38","$129,323,909"
SKC,SkyCity Entertainment Group Limited (NS),$2.620,$0.010 / 0.38%,"189,319","$497,852.52","$1,991,737,648"
SKL,Skellerup Holdings Limited,$5.300,-$0.020 / -0.38%,"44,773","$237,912.12","$1,039,179,385"
SKO,Serko Limited,$2.200,-$0.070 / -3.08%,"19,518","$43,303.71","$264,974,651"
SKT,Sky Network Television Limited,$2.290,-$0.040 / -1.72%,"24,891","$57,204.53","$333,362,607"
SML,Synlait Milk Limited (NS),$3.490,-$0.060 / -1.69%,"127,631","$445,573.97","$762,849,997"
SNC,Southern Charter Financial Group Limited,$0.006,$0.000 / 0.00%,0,$0.00,"$3,089,367"
SPG,Stride Property Ltd & Stride Investment Management Ltd (NS),$1.400,$0.000 / 0.00%,"233,450","$325,154.83","$756,463,316"
SPK,Spark New Zealand Limited,$5.250,$0.040 / 0.77%,"1,890,258","$9,884,803.22","$9,834,111,079"
SPN,South Port New Zealand Limited,$8.210,$0.000 / 0.00%,89,$733.15,"$215,388,513"
SPY,Smartpay Holdings Limited,$1.225,$0.090 / 7.93%,"23,138","$27,963.79","$291,899,080"
STU,Steel & Tube Holdings Limited,$1.300,$0.010 / 0.78%,"17,453","$22,567.67","$216,908,465"
SUM,Summerset Group Holdings Limited,$9.100,-$0.030 / -0.33%,"68,847","$630,408.63","$2,112,263,735"
SVR,Savor Limited,$0.395,$0.000 / 0.00%,13,$5.07,"$26,380,054"
TAH,Third Age Health Services Limited,$1.650,$0.000 / 0.00%,402,$663.24,"$16,506,846"
TCL,The City of London Investment Trust Plc,$8.000,$0.030 / 0.38%,223,"$1,783.83","$3,818,798,944"
TEM,Templeton Emerging Markets Investment Trust Plc,$2.970,$0.020 / 0.68%,"5,999","$17,818.72","$3,450,501,150"
TGG,T&G Global Limited,$2.360,$0.000 / 0.00%,254,$597.88,"$289,201,961"
THL,Tourism Holdings Limited,$3.640,-$0.030 / -0.82%,"12,654","$46,103.82","$779,009,056"
TNZ,Smartshares NZ Top 10 ETF,$1.913,$0.004 / 0.21%,"62,728","$119,708.40","$139,900,699"
TRA,Turners Automotive Group Limited,$3.220,-$0.030 / -0.92%,"8,399","$27,089.86","$279,174,795"
TRU,TruScreen Group Limited,$0.039,$0.000 / 0.00%,"26,744","$1,014.08","$14,151,784"
TSK,TASK Group Holdings Limited,$0.360,$0.000 / 0.00%,"2,692",$975.38,"$127,738,414"
TWF,Smartshares Total World ETF,$2.827,$0.056 / 2.02%,"187,533","$524,580.14","$262,216,146"
TWH,Smartshares Total World (NZD Hedged) ETF,$2.910,$0.028 / 0.97%,"13,642","$39,675.91","$57,690,427"
TWL,Trade Window Holdings Limited,$0.510,$0.000 / 0.00%,96,$49.92,"$51,410,397"
TWR,Tower Limited,$0.725,$0.005 / 0.69%,"79,978","$57,822.25","$275,125,891"
USA,Smartshares US Equities ESG ETF,$2.810,$0.016 / 0.57%,"3,302","$9,336.05","$46,271,612"
USF,Smartshares US 500 ETF,$11.219,$0.131 / 1.18%,"60,116","$675,194.21","$471,332,561"
USG,Smartshares US Large Growth ETF,$6.627,$0.078 / 1.19%,"36,360","$241,300.81","$183,129,630"
USM,Smartshares US Mid Cap ETF,$6.566,$0.090 / 1.39%,"3,699","$24,258.75","$89,118,644"
USS,Smartshares US Small Cap ETF,$5.893,$0.066 / 1.13%,"1,776","$10,508.31","$77,868,399"
USV,Smartshares US Large Value ETF,$4.483,$0.016 / 0.36%,"30,576","$137,567.95","$86,894,778"
VCT,Vector Limited (NS),$4.310,$0.040 / 0.94%,"267,552","$1,151,686.58","$4,310,000,000"
VGL,Vista Group International Limited,$1.470,$0.000 / 0.00%,"38,077","$55,898.27","$342,792,377"
VHP,Vital Healthcare Property Trust,$2.270,$0.000 / 0.00%,"414,014","$938,408.24","$1,493,108,086"
VNT,Ventia Services Group Limited,$2.690,$0.000 / 0.00%,93,$252.03,"$2,301,295,000"
VSL,Vulcan Steel Limited,$9.280,$0.380 / 4.27%,"27,475","$247,728.22","$1,219,471,548"
VTL,Vital Limited,$0.305,$0.005 / 1.67%,"1,330",$405.65,"$12,672,237"
WBC,Westpac Banking Corporation,$25.520,$0.320 / 1.27%,"5,892","$149,971.80","$89,348,778,751"
WCO,WasteCo Group Limited,$0.085,$0.000 / 0.00%,"146,229","$12,429.33","$58,480,000"
WHS,The Warehouse Group Limited,$2.630,$0.000 / 0.00%,"35,355","$93,169.19","$912,197,406"
WIN,Winton Land Limited (NS),$1.660,$0.060 / 3.75%,"6,100","$10,061.62","$492,378,802"
